time_stamp user_id post_id
10/04/2021-17:22:40 31354758 1380934121254498307
10/04/2021-17:23:57 800572850 1380934102031945729
10/04/2021-17:24:14 1386058087 1380934065289883649
10/04/2021-17:27:32 1099404276114358272 1380935419395768324
10/04/2021-17:27:41 48150548 1380935468330586114
10/04/2021-17:27:47 3233589750 1380935447833145346
10/04/2021-17:31:08 1231374372 1380935442334425091
10/04/2021-17:31:18 65065755 1380935433081655296
10/04/2021-17:31:49 1115823201316110336 1380936534732402688
10/04/2021-17:31:59 1919051904 1380936536561180672
10/04/2021-17:33:29 21818830 1380936526775914496
10/04/2021-17:33:40 1308795140119703558 1380936523030405122
10/04/2021-17:33:47 159451293 1380936521839218691
10/04/2021-17:34:01 3256831104 1380936512209100804
10/04/2021-17:34:17 1093252924757762048 1380936502654476296
10/04/2021-17:34:50 2534475633 1380937231452545028
10/04/2021-17:34:58 714154638254080000 1380937226758975493
10/04/2021-17:40:27 369030944 1380937210590007297
10/04/2021-17:53:32 26580506 1380941980184809473
10/04/2021-17:53:35 2468190703 1380941969220849664
10/04/2021-17:53:40 2694058916 1380941960094085123
10/04/2021-17:53:44 333656159 1380941945325953025
10/04/2021-17:53:50 1239251725149712388 1380941923435876369
10/04/2021-17:53:56 1136578476503384064 1380941929534386183
10/04/2021-17:54:00 1551676028 1380941924501225478
10/04/2021-17:54:04 1280571197386895361 1380941920919244801
